Champion,Win %,Games,Wins,Losses,KDA,Kills,Deaths,Assists,Double Kills,Triple Kills,Quadra Kills,Penta Kills,CS,CS/m,Player,NetizenWin%,Role,Kill Avg,Death Avg,Assist Avg
Trundle,43%,7,3,4,2.54,83,105,184,14,2,0,0,50.4,2.3,Jason,51.00%,Bruiser,11.9,15.0,26.3
Rek'Sai,14%,7,1,6,2.09,112,96,89,19,5,1,0,10.7,0.7,Jason,50.60%,Assassin,16.0,13.7,12.7
Sivir,86%,7,6,1,4.22,82,83,268,16,3,0,0,92.7,5.1,Matt,52.20%,AD Carry,11.7,11.9,38.3
Karma,71%,7,5,2,5.08,41,64,284,2,0,0,0,17.3,0.9,Matt,51.50%,Enchantress,5.9,9.1,40.6
Aphelios,57%,7,4,3,3.32,93,79,169,19,8,0,0,62.6,3.6,Matt,47.80%,AD Carry,13.3,11.3,24.1
Gragas,57%,7,4,3,2.56,49,91,184,2,1,0,0,11.1,0.6,Matt,47.70%,Bruiser,7.0,13.0,26.3
Naafiri,57%,7,4,3,2.49,89,108,180,13,3,0,0,37.3,1.9,Matt,45.90%,Assassin,12.7,15.4,25.7
Camille,100%,6,6,0,2.6,93,86,131,17,1,0,0,18.8,1,Jason,52.20%,Bruiser,15.5,14.3,21.8
Cassiopeia,67%,6,4,2,4.22,103,60,150,20,7,2,0,45.8,2.8,Jason,48.80%,Bruiser,17.2,10.0,25.0
Briar,50%,6,3,3,1.78,54,100,124,8,4,0,0,42.7,2.2,Jason,49.00%,Bruiser,9.0,16.7,20.7
Neeko,33%,6,2,4,3.01,80,71,134,18,3,0,0,53,2.6,Jason,51.60%,Engage,13.3,11.8,22.3
Lillia,83%,6,5,1,2.66,40,74,157,5,0,0,0,29.5,1.5,Matt,53.80%,Bruiser,6.7,12.3,26.2
Azir,50%,6,3,3,2.34,48,73,123,9,3,1,0,43.5,2.8,Matt,52.70%,AP Carry,8.0,12.2,20.5
Kayle,33%,6,2,4,3.46,58,91,257,7,0,0,0,53.8,2.6,Matt,51.80%,AP Carry,9.7,15.2,42.8
Rakan,33%,6,2,4,2.87,36,85,208,3,0,0,0,7.7,0.4,Matt,48.60%,Engage,6.0,14.2,34.7
Darius,33%,6,2,4,2.08,46,86,133,5,1,1,1,30.2,1.6,Matt,48.70%,Bruiser,7.7,14.3,22.2
Tahm Kench,33%,6,2,4,1.94,41,87,128,4,2,1,0,10.5,0.5,Matt,51.00%,Bruiser,6.8,14.5,21.3
Poppy,17%,6,1,5,2.18,33,90,163,4,0,0,0,13.2,0.7,Matt,52.20%,Bruiser,5.5,15.0,27.2
Illaoi,17%,6,1,5,1.86,57,106,140,9,0,0,0,36.5,1.7,Matt,53.30%,Bruiser,9.5,17.7,23.3
Sion,40%,5,2,3,2.9,42,70,161,1,0,0,0,83.8,4,Wesley,53.40%,Bruiser,8.4,14.0,32.2
Orianna,60%,5,3,2,4.91,96,53,164,20,4,0,0,48.4,2.9,Jason,53.00%,Engage,19.2,10.6,32.8
Annie,60%,5,3,2,2.97,95,75,128,21,5,1,0,40.4,1.9,Jason,50.70%,Engage,19.0,15.0,25.6
Anivia,40%,5,2,3,3.82,79,57,139,16,3,0,0,51,2.7,Jason,50.60%,AP Carry,15.8,11.4,27.8
Evelynn,40%,5,2,3,2.86,113,76,104,22,8,1,0,36.6,1.6,Jason,46.50%,Assassin,22.6,15.2,20.8
Sett,40%,5,2,3,2.65,52,65,120,4,0,0,0,44.6,2.1,Jason,48.80%,Bruiser,10.4,13.0,24.0
Ekko,40%,5,2,3,2.29,90,89,114,18,2,0,0,41.6,1.9,Jason,50.70%,Assassin,18.0,17.8,22.8
Kled,60%,5,3,2,3.05,59,73,164,6,1,0,0,31.4,1.7,Matt,51.90%,Engage,11.8,14.6,32.8
Maokai,20%,5,1,4,2.84,17,64,165,1,0,0,0,23.8,1.3,Matt,50.70%,Engage,3.4,12.8,33.0
Jhin,20%,5,1,4,3.21,60,52,107,13,2,1,0,46.2,2.7,James,50.40%,AD Carry,12.0,10.4,21.4
Kassadin,75%,4,3,1,3.13,89,48,61,20,7,4,0,36.3,2.1,Jason,47.90%,Assassin,22.3,12.0,15.3
Karthus,75%,4,3,1,2.66,102,83,119,21,5,1,0,84.3,4,Jason,48.30%,Bruiser,25.5,20.8,29.8
Kennen,50%,4,2,2,3.11,92,56,82,20,7,2,2,47.5,2.2,Jason,52.30%,Engage,23.0,14.0,20.5
Olaf,50%,4,2,2,2.87,64,55,94,9,3,0,0,31,1.8,Jason,52.00%,Bruiser,16.0,13.8,23.5
Nocturne,50%,4,2,2,2.56,116,68,58,30,15,5,1,48.8,2.3,Jason,48.60%,Assassin,29.0,17.0,14.5
Jax,50%,4,2,2,2.32,76,66,77,12,3,0,0,33,1.6,Jason,50.10%,Bruiser,19.0,16.5,19.3
Kha'Zix,25%,4,1,3,2.67,111,61,52,26,11,4,3,39.5,2.1,Jason,47.00%,Assassin,27.8,15.3,13.0
Naafiri,25%,4,1,3,2.57,58,51,73,15,2,0,0,46.5,2.6,Jason,45.90%,Assassin,14.5,12.8,18.3
Rammus,25%,4,1,3,2.49,23,55,114,1,0,0,0,19.8,1.2,Jason,52.50%,Engage,5.8,13.8,28.5
Irelia,25%,4,1,3,2.46,48,50,75,10,1,0,0,90.3,5.1,Jason,49.60%,Bruiser,12.0,12.5,18.8
Vayne,25%,4,1,3,2.39,82,71,88,18,2,0,0,80,3.6,Jason,50.90%,AD Carry,20.5,17.8,22.0
Alistar,25%,4,1,3,2.35,52,71,115,6,0,0,0,17.5,0.8,Jason,50.10%,Engage,13.0,17.8,28.8
Rell,75%,4,3,1,4.41,16,41,165,2,0,0,0,14.5,0.9,Allen,48.40%,Engage,4.0,10.3,41.3
Poppy,75%,4,3,1,3.98,49,42,118,9,0,0,0,23.8,1.3,Allen,52.20%,Bruiser,12.3,10.5,29.5
Riven,75%,4,3,1,2.93,68,57,99,14,3,0,0,50,2.4,Allen,50.10%,Bruiser,17.0,14.3,24.8
Lee Sin,0%,4,0,4,2.5,68,54,67,12,5,1,0,27.5,1.6,Allen,45.80%,Bruiser,17.0,13.5,16.8
Nami,75%,4,3,1,5.97,13,32,178,1,0,0,0,3.5,0.2,Matt,51.80%,Enchantress,3.3,8.0,44.5
Rell,75%,4,3,1,4.06,17,51,190,0,0,0,0,7.3,0.4,Matt,48.40%,Engage,4.3,12.8,47.5
Zac,75%,4,3,1,2.72,21,54,126,1,0,0,0,12.5,0.7,Matt,50.10%,Engage,5.3,13.5,31.5
Senna,50%,4,2,2,4.5,59,52,175,9,3,1,1,77,3,Matt,51.30%,AD Carry,14.8,13.0,43.8
Zyra,50%,4,2,2,3.15,22,46,123,1,0,0,0,34.3,1.8,Matt,51.80%,AP Carry,5.5,11.5,30.8
Diana,50%,4,2,2,2.49,43,59,104,5,0,0,0,23.5,1.2,Matt,53.20%,Engage,10.8,14.8,26.0
Lissandra,50%,4,2,2,2.47,42,57,99,6,1,0,0,32.5,2,Matt,49.80%,Engage,10.5,14.3,24.8
Sett,50%,4,2,2,2.17,38,64,101,5,1,0,0,30.8,1.4,Matt,48.80%,Bruiser,9.5,16.0,25.3
Bel'Veth,50%,4,2,2,2.07,47,67,92,7,2,2,1,44.8,2,Matt,46.60%,Bruiser,11.8,16.8,23.0
Seraphine,25%,4,1,3,4.35,29,37,132,7,1,0,0,38.3,2.2,Matt,53.00%,Enchantress,7.3,9.3,33.0
Kai'Sa,25%,4,1,3,3.04,51,46,89,3,2,0,0,56.3,2.7,Matt,47.40%,AD Carry,12.8,11.5,22.3
Varus,25%,4,1,3,2.83,40,41,76,6,0,0,0,63.8,4,Matt,49.90%,AD Carry,10.0,10.3,19.0
Sejuani,25%,4,1,3,2.21,43,62,94,6,1,0,0,35.5,1.7,Matt,50.90%,Engage,10.8,15.5,23.5
Blitzcrank,50%,4,2,2,3.9,24,39,128,1,0,0,0,14.3,0.7,James,50.00%,Engage,6.0,9.8,32.0
Tryndamere,67%,3,2,1,4.38,38,32,102,6,1,0,0,64.3,3.8,Wesley,50.20%,Bruiser,12.7,10.7,34.0
Renekton,67%,3,2,1,3.59,47,32,68,10,0,0,0,106.3,5.5,Wesley,51.40%,Bruiser,15.7,10.7,22.7
Viktor,100%,3,3,0,4.2,50,30,76,12,0,0,0,53.7,2.8,Jason,52.10%,AP Carry,16.7,10.0,25.3
Shen,33%,3,1,2,3.63,31,35,96,5,0,0,0,31.3,1.7,Jason,51.60%,Engage,10.3,11.7,32.0
Fiora,33%,3,1,2,2.88,34,32,58,5,2,0,0,40.7,2.6,Jason,49.00%,Bruiser,11.3,10.7,19.3
Zed,33%,3,1,2,2.68,68,47,58,12,3,0,0,60.3,2.9,Jason,45.20%,Assassin,22.7,15.7,19.3
